language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
es,1,que,"that; than; indicates reason; because, for; indicates desire or permission; may","that; than; indicates reason; because, for; indicates desire or permission; may",,7331,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,que,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,que,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,2,no,"not; no; abbreviation of número; no; eh?, right?, isn't it? (used as a tag question, to emphasise what precedes, or to request that the listener express an opinion)","not; no; abbreviation of número; no; eh?, right?, isn't it? (used as a tag question, to emphasise what precedes, or to request that the listener express an opinion)",,5336,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,no,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,no,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3,y,"and; plus, and; well; what about, how about, and, where is/are the","and; plus, and; well; what about, how about, and, where is/are the",,5148,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,y,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,y,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,4,de,"of; 's; used after the thing owned and before the owner; from (with the source or provenance of or at); of (expressing composition, substance); about (concerning; with regard to)","of; 's; used after the thing owned and before the owner; from (with the source or provenance of or at); of (expressing composition, substance); about (concerning; with regard to)",,4620,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,de,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,de,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,5,a,"to; by; at; Used before words referring to people, pets, or personified objects or places that function as direct objects: personal a","to; by; at; Used before words referring to people, pets, or personified objects or places that function as direct objects: personal a",,3573,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,a,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,a,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,6,la,"feminine singular definite article; the; accusative of ella, ello (when the antecedent's implied gender is feminine), and usted (when referring to a woman); her, it, you (formal); impersonal neuter pronoun (accusative) in certain colloquial phrases: it, this; la (sixth note of the scale)","feminine singular definite article; the; accusative of ella, ello (when the antecedent's implied gender is feminine), and usted (when referring to a woman); her, it, you (formal); impersonal neuter pronoun (accusative) in certain colloquial phrases: it, this; la (sixth note of the scale)",,3535,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,la,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,la,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,7,es,third-person singular present indicative of ser; plural of e,third-person singular present indicative of ser; plural of e,,3064,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,ser,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,ser,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,8,el,masculine singular definite article; the; feminine singular definite article used before nouns which start with a stressed /a/,masculine singular definite article; the; feminine singular definite article used before nouns which start with a stressed /a/,,2870,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,el,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,el,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,9,lo,"neuter definite article used only before nominalized adjectives: the, that which is; accusative of él and usted (when referring to a man), and a variant of ello in many constructions; him, you (formal), it, that","neuter definite article used only before nominalized adjectives: the, that which is; accusative of él and usted (when referring to a man), and a variant of ello in many constructions; him, you (formal), it, that",,2296,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,lo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,lo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,10,en,"in, at, on; in (a time); in (a language); used after some verbs and translated by various prepositions in English","in, at, on; in (a time); in (a language); used after some verbs and translated by various prepositions in English",,2220,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,en,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,en,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,11,sí,"yes, yeah, (used to respond affirmatively to a question, used both informally and formally); Used to give positive emphasis to a verb, which is often replaced. Functions similarly to English do; prepositional form of se; himself, herself, itself, themself, themselves","yes, yeah, (used to respond affirmatively to a question, used both informally and formally); Used to give positive emphasis to a verb, which is often replaced. Functions similarly to English do; prepositional form of se; himself, herself, itself, themself, themselves",,2142,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,sí,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,sí,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,12,me,"accusative of yo: me; dative of yo: to me, for me; reflexive of yo: myself","accusative of yo: me; dative of yo: to me, for me; reflexive of yo: myself",,1851,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,yo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,yo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,13,yo,first-person singular pronoun in the nominative case; I; Freud's concept of the ego,first-person singular pronoun in the nominative case; I; Freud's concept of the ego,,1775,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,yo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,yo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,14,pero,but; well well; so; well (used for emphasis); expresses surprise; first-person singular present indicative of perar,but; well well; so; well (used for emphasis); expresses surprise; first-person singular present indicative of perar,,1765,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,pero,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,pero,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,15,se,"A reflexive or reciprocal pronoun: oneself, himself, herself, itself, yourself; themselves; yourselves; each other; one another; A pronoun used with transitive verbs to create the passive voice; A pronoun used with a verb conjugated in the third-person singular to convey an impersonal meaning; Used to third person subjunctive moods to form an impersonal imperative","A reflexive or reciprocal pronoun: oneself, himself, herself, itself, yourself; themselves; yourselves; each other; one another; A pronoun used with transitive verbs to create the passive voice; A pronoun used with a verb conjugated in the third-person singular to convey an impersonal meaning; Used to third person subjunctive moods to form an impersonal imperative",,1750,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,se,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,se,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,16,un,apocopic form of uno (“one”),apocopic form of uno (“one”),,1681,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,un,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,un,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,17,pues,"so, then; in that case; because, since","so, then; in that case; because, since",,1389,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,pues,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,pues,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,18,qué,what; which; what a; such; what; how,what; which; what a; such; what; how,,1281,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,qué,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,qué,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,19,ya,"first (something) then (something else); first (something), now (something else); whether (something) or (something else); now, right now, (in the negative) anymore, no longer; by now, at this point","first (something) then (something else); first (something), now (something else); whether (something) or (something else); now, right now, (in the negative) anymore, no longer; by now, at this point",,1281,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,ya,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,ya,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,20,una,"feminine singular of un; feminine singular of uno; one (an indefinite plural pronoun using a singular feminine item, used for females); inflection of unir:","feminine singular of un; feminine singular of uno; one (an indefinite plural pronoun using a singular feminine item, used for females); inflection of unir:",,1265,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,una,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,una,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,21,los,masculine plural of el (“the”); accusative of ellos; them; accusative of ustedes (when referring to more than one man); you all (formal or (Latin America) informal); plural masculine or neuter pronoun,masculine plural of el (“the”); accusative of ellos; them; accusative of ustedes (when referring to more than one man); you all (formal or (Latin America) informal); plural masculine or neuter pronoun,,1259,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,los,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,los,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,22,por,"by; for (indicates something given in an exchange); through, out, via (indicating movement); across (indicating movement)","by; for (indicates something given in an exchange); through, out, via (indicating movement); across (indicating movement)",,1223,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,por,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,por,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,23,te,"dative of tú and vos: to you, for you; accusative of tú and vos: you; yourself; The name of the Latin script letter T/t","dative of tú and vos: to you, for you; accusative of tú and vos: you; yourself; The name of the Latin script letter T/t",,1196,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,te,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,te,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,24,o,or; either … or; Name of the letter O; where,or; either … or; Name of the letter O; where,,1147,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,o,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,o,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,25,si,"if, whether; points out a contradiction (and often implies that it's obvious or that it's easy to find out about)","if, whether; points out a contradiction (and often implies that it's obvious or that it's easy to find out about)",,1107,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,si,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,si,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,26,eso,neuter singular of ése; that,neuter singular of ése; that,,1068,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,ése,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,ése,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,27,las,feminine plural definite article; the; accusative of ellas; them; accusative of ustedes (when referring to more than one woman); you all (formal); feminine plural pronoun,feminine plural definite article; the; accusative of ellas; them; accusative of ustedes (when referring to more than one woman); you all (formal); feminine plural pronoun,,962,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,las,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,las,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,28,con,with; Dependent preposition following certain verbs,with; Dependent preposition following certain verbs,,954,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,con,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,con,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,29,para,"for, to (expressing a recipient); to, in order to, so, for (expressing the intended purpose of an action); by, due, due on, due by (expressing a deadline); for (expressing contrast from what is expected)","for, to (expressing a recipient); to, in order to, so, for (expressing the intended purpose of an action); by, due, due on, due by (expressing a deadline); for (expressing contrast from what is expected)",,954,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,para,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,para,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,30,bueno,good (of good quality); good (at/with something); good (in a good state); good (morally),good (of good quality); good (at/with something); good (in a good state); good (morally),,935,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,bueno,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bueno,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,31,porque,because,because,,884,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,porque,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,porque,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,32,le,"to him, for him; dative of él; to her, for her; dative of ella; to it, for it; dative of ello; to you, for you (formal); dative of usted","to him, for him; dative of él; to her, for her; dative of ella; to it, for it; dative of ello; to you, for you (formal); dative of usted",,785,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,le,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,le,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,33,como,"as (introducing a basis of comparison or equality); as, since (being that); how (in which way); if, unless (under the condition that)","as (introducing a basis of comparison or equality); as, since (being that); how (in which way); if, unless (under the condition that)",,744,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,como,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,como,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,34,más,"more, any more; most; plus; more; -er (used to make comparisons)","more, any more; most; plus; more; -er (used to make comparisons)",,740,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,más,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,más,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,35,claro,"certainly, naturally, of course; clear (easily understood); light, pale (not dark in hue); bright (emitting much light)","certainly, naturally, of course; clear (easily understood); light, pale (not dark in hue); bright (emitting much light)",,727,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,claro,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,claro,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,36,eh,"hey! (used to call, draw attention, warn or reprehend); uh, um (space filler in a conversation, expression of hesitation or pause in speech); huh?; okay? (asking for confirmation)","hey! (used to call, draw attention, warn or reprehend); uh, um (space filler in a conversation, expression of hesitation or pause in speech); huh?; okay? (asking for confirmation)",,649,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,eh,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,eh,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,37,muy,apocopic form of mucho; very,apocopic form of mucho; very,,645,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,muy,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,muy,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,38,está,inflection of estar:; third-person singular present indicative; second-person singular imperative; second-person singular voseo imperative,inflection of estar:; third-person singular present indicative; second-person singular imperative; second-person singular voseo imperative,,631,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,estar,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,estar,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,39,sé,first-person singular present indicative of saber; inflection of ser; inflection of ser:; second-person singular imperative,first-person singular present indicative of saber; inflection of ser; inflection of ser:; second-person singular imperative,,625,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,sé,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,sé,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,40,ha,third-person singular present indicative of haber,third-person singular present indicative of haber,,618,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,haber,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,haber,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,41,ah,"ah (expression of relief, realization, awe); ah (expression of woe, grief)","ah (expression of relief, realization, awe); ah (expression of woe, grief)",,557,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,ah,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,ah,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,42,luego,"therefore (consequently); then (afterward); later, later on (at some point in the future); soon (within a short time)","therefore (consequently); then (afterward); later, later on (at some point in the future); soon (within a short time)",,551,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,luego,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,luego,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,43,hay,"third-person singular present indicative of haber (“there is, there are”); alternative form of ahí; alternative form of ay","third-person singular present indicative of haber (“there is, there are”); alternative form of ahí; alternative form of ay",,537,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,hay,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,hay,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,44,aquí,here (in the speaker's location),here (in the speaker's location),,519,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,aquí,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,aquí,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,45,así,"inflection of asir:; first-person singular preterite indicative; second-person singular voseo imperative; like this; like that; as such; thus; so; thereby; this way, that way","inflection of asir:; first-person singular preterite indicative; second-person singular voseo imperative; like this; like that; as such; thus; so; thereby; this way, that way",,495,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,así,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,así,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,46,nada,"nothing, zero, zilch, not...anything; inflection of nadar:; third-person singular present indicative; second-person singular imperative","nothing, zero, zilch, not...anything; inflection of nadar:; third-person singular present indicative; second-person singular imperative",,494,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,nada,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,nada,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,47,sea,inflection of ser:; first/third-person singular present subjunctive; third-person singular imperative,inflection of ser:; first/third-person singular present subjunctive; third-person singular imperative,,482,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,ser,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,ser,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,48,tiene,third-person singular present indicative of tener,third-person singular present indicative of tener,,469,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,tener,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,tener,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,49,todo,all; every; each; every; everything,all; every; each; every; everything,,468,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,todo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,todo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,50,he,inflection of haber:; first-person singular present indicative; second-person singular imperative; second-person singular voseo imperative,inflection of haber:; first-person singular present indicative; second-person singular imperative; second-person singular voseo imperative,,466,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,he,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,he,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,51,al,"contraction of a + el, literally “at the, to the”; upon","contraction of a + el, literally “at the, to the”; upon",,465,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,al,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,al,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,52,del,"of the, from the (+ a masculine noun in singular)","of the, from the (+ a masculine noun in singular)",,463,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,del,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,del,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,53,bien,"either ... or; whether ... or (used to express alternatives, but with the same result); well (adverbial form of bueno); well; fine; okay (state of being satisfied with the status quo); properly","either ... or; whether ... or (used to express alternatives, but with the same result); well (adverbial form of bueno); well; fine; okay (state of being satisfied with the status quo); properly",,450,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,bien,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bien,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,54,ahora,"now...now, whether...or; now (at the present time); just now, just a moment ago (in the past); very soon, in a moment (in the future)","now...now, whether...or; now (at the present time); just now, just a moment ago (in the past); very soon, in a moment (in the future)",,430,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,ahora,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,ahora,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,55,cuando,when,when,,415,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,cuando,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,cuando,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,56,tú,you (second-person singular pronoun); expletive,you (second-person singular pronoun); expletive,,409,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,tú,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,tú,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,57,dos,two,two,,403,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,dos,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,dos,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,58,era,"first/third-person singular imperfect indicative of ser; era, age; era; threshing floor","first/third-person singular imperfect indicative of ser; era, age; era; threshing floor",,395,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,era,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,era,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,59,también,"also, too, as well; so","also, too, as well; so",,391,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,también,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,también,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,60,ver,"to see, to spot; to see, to look at, to view (perceive); to see, to tell, to observe; to see, to check (verify)","to see, to spot; to see, to look at, to view (perceive); to see, to tell, to observe; to see, to check (verify)",,390,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,ver,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,ver,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,61,ahí,there (away from the speaker); that (in certain phrases),there (away from the speaker); that (in certain phrases),,386,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,ahí,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,ahí,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,62,entonces,"then, next, thereupon, at that time, at that point; then, therefore, so, thus; in that case","then, next, thereupon, at that time, at that point; then, therefore, so, thus; in that case",,368,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,entonces,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,entonces,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,63,digo,first-person singular present indicative of decir; I mean; used to explain or correct a previous utterance,first-person singular present indicative of decir; I mean; used to explain or correct a previous utterance,,355,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,digo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,digo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,64,esto,neuter singular of éste (“this one”); substitutes a noun one can't remember or can't remember the name of,neuter singular of éste (“this one”); substitutes a noun one can't remember or can't remember the name of,,354,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,500,word_form,,,esto,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,esto,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
